issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-10144,Improvement,2018-08-14 20:45:33,2018-11-15 21:27:37
FLINK-10145,Sub-task,2018-08-15 01:08:03,2018-09-27 13:58:11
FLINK-10146,Bug,2018-08-15 15:29:25,
FLINK-10147,Bug,2018-08-15 15:33:02,
FLINK-10148,Bug,2018-08-15 18:06:53,
FLINK-10149,Bug,2018-08-15 18:41:15,2018-12-03 15:13:01
FLINK-10150,Bug,2018-08-15 21:06:33,2018-09-05 16:04:59
FLINK-10151,Bug,2018-08-15 22:58:42,2018-08-21 20:41:15
FLINK-10152,Sub-task,2018-08-16 00:12:41,
FLINK-10153,Improvement,2018-08-16 00:52:21,2018-08-25 01:18:06
FLINK-10154,Bug,2018-08-16 01:40:42,2018-08-16 23:56:40
FLINK-10155,Bug,2018-08-16 02:17:36,
FLINK-10156,Improvement,2018-08-16 05:21:52,2018-10-13 05:36:37
FLINK-10157,Bug,2018-08-16 16:00:16,2018-09-21 21:35:18
FLINK-10158,Improvement,2018-08-16 16:34:28,2018-08-21 16:53:52
FLINK-10159,Bug,2018-08-16 19:37:25,2018-08-17 15:34:06
FLINK-10160,Bug,2018-08-16 20:48:58,2018-08-16 23:25:12
FLINK-10161,New Feature,2018-08-16 21:06:32,2018-08-17 09:51:34
FLINK-10162,Improvement,2018-08-16 21:08:21,
FLINK-10163,New Feature,2018-08-16 22:15:20,2018-08-28 15:45:39
FLINK-10164,Improvement,2018-08-17 00:02:51,2018-08-22 21:41:53
FLINK-10165,Improvement,2018-08-17 17:17:14,
FLINK-10166,Bug,2018-08-17 17:44:16,2018-10-31 17:43:23
FLINK-10167,Bug,2018-08-18 09:53:37,
FLINK-10168,Improvement,2018-08-18 12:29:06,
FLINK-10169,Bug,2018-08-19 14:40:12,2018-08-19 14:50:02
FLINK-10170,Improvement,2018-08-19 22:20:20,2018-09-12 00:26:15
FLINK-10171,Improvement,2018-08-20 00:28:48,
FLINK-10172,Bug,2018-08-20 05:39:48,2018-11-22 01:03:45
FLINK-10173,Bug,2018-08-20 14:51:48,
FLINK-10174,Bug,2018-08-20 15:22:16,2018-09-07 22:45:01
FLINK-10175,Bug,2018-08-20 17:06:55,2018-08-22 19:35:55
FLINK-10176,Improvement,2018-08-20 17:12:23,2018-08-22 19:36:35
FLINK-10177,Improvement,2018-08-20 18:26:31,
FLINK-10178,Bug,2018-08-20 21:18:47,2018-08-20 23:04:56
FLINK-10179,Sub-task,2018-08-20 22:10:16,
FLINK-10180,Sub-task,2018-08-20 22:18:36,
FLINK-10181,Improvement,2018-08-20 23:30:23,2018-08-21 15:21:02
