fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
"shiro-1.2.4(1.2.3,1.2.2,1.2.1,1.2.0).csv",-20,-3,-28,0.0,0.0,0.002152852529601722
"shiro-1.2.5(1.2.4,1.2.3,1.2.2,1.2.1,1.2.0).csv",-2,1,-36,0.0,0.5,0.0021514629948364886
shiro-1.2.3(1.2.2).csv,-31,-4,-20,0.0,0.0,0.002150537634408602
"shiro-1.2.4(1.2.3,1.2.2,1.2.1).csv",-29,-7,-41,0.0,0.0,0.002150537634408602
"shiro-1.2.6(1.2.5,1.2.4,1.2.3,1.2.2,1.2.1,1.2.0).csv",-3,-38,-24,0.0,0.0,0.002150537634408602
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1,1.2.0).csv",-1,-37,-3,0.0,0.2,0.00214987714987715
"shiro-1.2.5(1.2.4,1.2.3,1.2.2,1.2.1).csv",-26,-1,-14,0.0,0.2,0.0021493820526598604
"shiro-1.2.6(1.2.5,1.2.4,1.2.3,1.2.2,1.2.1).csv",-16,-33,-17,0.0,0.0,0.0021486892995272885
"shiro-1.2.4(1.2.3,1.2.2).csv",-5,1,-16,0.0,0.2,0.0021482277121374865
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1).csv",-29,-15,2,0.0,0.2,0.0021482277121374865
"shiro-1.2.5(1.2.4,1.2.3,1.2.2).csv",-37,1,-26,0.0,0.2,0.0021474588403722263
"shiro-1.2.6(1.2.5,1.2.4,1.2.3,1.2.2).csv",-41,-1,-14,0.0,0.2,0.0021470746108427268
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3,1.2.2).csv",-25,-23,-20,0.0,0.0,0.0021468441391155
"shiro-1.3.0(1.2.6,1.2.5).csv",-27,-24,-22,0.0,0.0,0.002145922746781116
"shiro-1.2.5(1.2.4,1.2.3).csv",-28,-31,-9,0.0,0.0,0.002145922746781116
shiro-1.2.4(1.2.3).csv,-32,-32,-41,0.0,0.0,0.002145922746781116
"shiro-1.3.0(1.2.6,1.2.5,1.2.4).csv",-33,-19,-6,0.0,0.0,0.002145922746781116
"shiro-1.3.0(1.2.6,1.2.5,1.2.4,1.2.3).csv",-41,-8,-1,0.0,0.0,0.002145922746781116
"shiro-1.2.6(1.2.5,1.2.4,1.2.3).csv",-32,-7,-4,0.0,0.0,0.002145922746781116
"shiro-1.2.6(1.2.5,1.2.4).csv",-21,-26,-36,0.0,0.0,0.002145922746781116
shiro-1.2.6(1.2.5).csv,-7,-39,-3,0.0,0.0,0.002145922746781116
shiro-1.3.0(1.2.6).csv,-8,-6,-28,0.0,0.0,0.002145922746781116
shiro-1.2.5(1.2.4).csv,-11,-7,0,0.0,0.2,0.002145922746781116
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1,1.2.0).csv",-8,-1,-36,0.0,0.2,0.002133902373966391
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1).csv",-34,-40,-20,0.0,0.0,0.002130249543517955
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3,1.2.2).csv",-4,1,-38,0.0,0.2,0.002126151665485471
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3).csv",-7,-18,-29,0.0,0.0,0.0021213406873143827
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4).csv",-43,0,-10,0.0,0.2,0.0021152829190904283
"shiro-1.3.1(1.3.0,1.2.6,1.2.5).csv",-24,-12,1,0.0,0.2,0.002105263157894737
"shiro-1.3.1(1.3.0,1.2.6).csv",-7,-29,-8,0.0,0.0,0.0020855057351407717
shiro-1.3.1(1.3.0).csv,-6,-7,-41,0.0,0.0,0.002028397565922921
"shiro-1.3.1(1.3.0,1.2.6,1.2.5,1.2.4,1.2.3,1.2.2,1.2.1,1.2.0,1.1.0).csv",0,-20,-3,1.0,0.2,0.001937046004842615
