issueKey,type,createdDateEpoch,resolvedDateEpoch
HADOOP-5737,Bug,2009-04-24 15:21:17,2009-05-12 17:04:48
HADOOP-5738,Bug,2009-04-24 16:08:46,2009-05-05 05:28:25
HADOOP-5743,Improvement,2009-04-25 03:27:29,
HADOOP-5745,New Feature,2009-04-26 16:14:28,2009-05-05 14:03:23
HADOOP-5746,Bug,2009-04-27 11:39:16,2009-06-04 20:45:47
HADOOP-5749,Bug,2009-04-27 19:54:08,2011-04-20 01:27:02
HADOOP-5752,New Feature,2009-04-28 08:48:16,2009-04-30 11:03:01
HADOOP-5753,Improvement,2009-04-28 14:43:36,2010-01-07 01:52:21
HADOOP-5754,Improvement,2009-04-29 00:19:05,2012-07-10 21:44:41
HADOOP-5759,Bug,2009-04-30 16:07:38,2009-05-27 12:42:19
HADOOP-5760,Bug,2009-05-01 01:45:04,2014-07-23 03:18:52
HADOOP-5762,Bug,2009-05-01 09:14:30,2009-06-04 06:11:36
HADOOP-5764,Bug,2009-05-04 03:20:42,2009-06-23 06:08:18
HADOOP-5769,Bug,2009-05-05 01:41:18,2009-05-05 02:01:54
HADOOP-5771,Improvement,2009-05-05 14:11:08,2009-05-12 00:37:16
HADOOP-5772,New Feature,2009-05-06 02:05:39,2014-07-23 03:37:20
HADOOP-5775,Bug,2009-05-06 07:25:38,2009-06-27 07:06:12
HADOOP-5777,Bug,2009-05-06 08:24:04,2009-05-08 03:37:30
HADOOP-5780,Bug,2009-05-07 05:19:47,2009-05-13 07:03:35
HADOOP-5782,Bug,2009-05-08 09:04:55,2009-05-27 04:42:03
HADOOP-5784,Improvement,2009-05-08 15:11:24,2009-06-02 14:52:48
HADOOP-5787,Improvement,2009-05-08 17:08:01,2014-07-23 03:25:07
HADOOP-5790,Improvement,2009-05-08 18:03:49,2009-05-09 01:24:10
HADOOP-5791,Sub-task,2009-05-08 18:23:41,2014-07-23 03:25:38
HADOOP-5792,Sub-task,2009-05-08 19:06:10,2010-03-04 17:12:08
HADOOP-5793,New Feature,2009-05-08 21:11:57,
HADOOP-5800,Bug,2009-05-11 14:49:40,2009-05-12 13:39:38
HADOOP-5801,Bug,2009-05-11 20:50:48,2009-05-20 12:25:52
HADOOP-5802,Bug,2009-05-12 00:15:26,2009-05-20 00:32:24
HADOOP-5803,Improvement,2009-05-12 00:22:03,2009-05-28 23:40:54
HADOOP-5804,Bug,2009-05-12 00:22:51,2009-06-03 19:35:19
HADOOP-5805,Bug,2009-05-12 01:35:01,2009-05-29 00:44:12
HADOOP-5807,Task,2009-05-12 05:13:38,2009-05-19 12:51:32
HADOOP-5808,Bug,2009-05-12 06:04:11,2009-05-13 03:01:08
HADOOP-5809,Bug,2009-05-12 15:28:41,2009-05-27 07:08:37
HADOOP-5813,Bug,2009-05-13 00:29:24,2010-01-01 01:25:56
HADOOP-5814,Improvement,2009-05-13 00:33:15,2014-07-23 03:34:29
HADOOP-5815,New Feature,2009-05-13 01:54:39,2009-05-26 18:31:32
HADOOP-5816,Bug,2009-05-13 10:03:47,2009-05-27 10:32:02
HADOOP-5818,Bug,2009-05-14 01:37:59,2009-05-15 04:28:25
HADOOP-5820,Bug,2009-05-14 03:13:21,2009-05-15 07:48:25
HADOOP-5822,Improvement,2009-05-14 04:44:02,2009-05-15 07:57:30
HADOOP-5823,Bug,2009-05-14 05:35:58,2009-05-14 08:02:26
HADOOP-5824,Bug,2009-05-14 05:53:52,2009-05-15 02:13:11
HADOOP-5827,Bug,2009-05-14 09:35:47,2009-05-14 11:51:41
HADOOP-5828,Bug,2009-05-14 13:30:51,2009-05-15 17:46:38
HADOOP-5829,Bug,2009-05-14 13:42:39,2009-05-19 09:10:27
HADOOP-5833,Bug,2009-05-14 17:29:55,2009-06-11 12:24:45
HADOOP-5835,Bug,2009-05-15 00:57:22,2009-05-19 09:11:56
HADOOP-5836,Bug,2009-05-15 01:56:52,2009-06-03 18:43:02
HADOOP-5838,Improvement,2009-05-15 02:58:03,2009-05-16 00:11:13
HADOOP-5839,Improvement,2009-05-15 03:14:34,2009-05-21 22:31:07
HADOOP-5841,Bug,2009-05-15 07:23:24,2009-05-21 02:36:16
HADOOP-5842,Bug,2009-05-15 07:50:45,2009-05-15 09:29:41
HADOOP-5844,New Feature,2009-05-15 08:45:10,2009-06-03 18:28:23
HADOOP-5845,Bug,2009-05-15 15:22:07,2009-05-15 20:28:15
HADOOP-5847,Bug,2009-05-15 17:42:10,2009-05-25 00:02:30
HADOOP-5848,New Feature,2009-05-16 00:38:02,2013-07-12 10:58:02
