@relation zeppelin-0.6.1.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA. numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.0,1,3.79465347354434,4.31440645035686,5,0.0,5,5.8,2,2,1,4,5,5,5,0,5,0,37,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,4,2,2,24,0,24,FALSE
2.64705882352941,8,5.54840234442609,6.8978687752057315,7,1.99826914723094,45,11.117647058823499,14,9,0,17,17,33,17,7,10,12,223,151,1,0,1,8,8,0,9,16,8,1,0,0,1,0.34444444444444394,0.242424242424242,0,0,0,9,9,6,33,11,22,TRUE
3.0,3,2.3219280948873595,3.5743577621291296,0,0.0,3,10.0,0,0,1,0,1,1,1,0,1,1,12,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,3,0,3,FALSE
2.44444444444444,8,5.015061012203071,5.65256668207824,5,2.16595429884644,22,10.1111111111111,11,6,0,9,9,29,9,0,9,12,117,71,1,0,1,4,4,0,5,20,4,1,0,0,1,0.3611111111111111,0.137931034482759,4,4,0,9,6,5,18,6,12,TRUE
1.0,1,3.94770277922009,5.281196548896821,4,0.0,4,8.25,4,4,0,4,4,4,4,0,4,0,44,33,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,5,4,4,17,0,17,FALSE
1.0,1,4.03740119765411,5.49783814230525,4,0.0,4,9.0,4,4,0,4,4,4,4,0,4,0,47,37,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,6,4,4,25,0,25,FALSE
1.0,1,3.11583409216322,2.45680178177503,5,0.0,5,3.2,2,2,0,5,5,5,5,0,5,4,22,14,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,FALSE
3.35,12,5.5814366471679495,6.8368005623784684,6,3.19804627858948,67,14.95,36,31,0,20,20,39,20,4,16,28,345,251,1,0,1,5,5,0,15,19,5,1,0,0,1,0.359027777777778,0.12820512820512805,3,3,0,7,28,6,42,6,36,TRUE
3.375,9,5.05346287880892,6.0744124603652585,2,2.44629822384762,27,17.125,3,3,4,4,8,8,8,2,6,20,150,97,1,0,1,0,0,0,8,0,0,1,0,0,1,0.148148148148148,0.0,0,0,0,0,3,3,0,0,0,FALSE
1.1,2,3.81517778107656,5.224596459349692,9,0.3,11,13.0,1,1,2,8,10,10,10,1,9,0,141,113,1,0,1,0,0,0,10,0,0,1,0,0,1,0.15151515151515196,0.0,0,0,0,9,1,1,123,0,123,TRUE
1.6363636363636398,5,5.1286086583418085,6.16774004423915,8,1.22643068756655,18,8.54545454545455,15,10,0,11,11,29,11,2,9,11,127,83,1,1,1,7,6,1,5,18,6,1,1,1,1,0.277777777777778,0.206896551724138,1,1,0,5,10,3,33,24,9,TRUE
6.0,6,19.238296620009198,19.946600874400197,29,0.0,29,18.641414141414106,15,0,0,29,29,55,29,0,29,14,122,56,3,0,3,1,1,0,28,26,1,3,0,0,2,0.6095679012345679,0.0714285714285714,0,0,0,8,0,0,11,2,9,TRUE
1.0,1,3.30869496956284,3.27761343681912,4,0.0,4,3.5,3,3,0,4,4,4,4,0,4,3,19,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,3,0,0,0,FALSE
1.0,1,2.75,3.71929452566698,2,0.0,2,5.5,0,0,0,2,2,2,2,0,2,0,13,10,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,1,0,0,0,0,0,FALSE
3.05,8,5.662989759754809,6.6611359275232696,6,2.26881026090769,61,15.35,23,18,2,18,20,39,20,10,10,27,363,240,1,1,1,6,5,1,15,19,5,1,1,1,1,0.292361111111111,0.12820512820512805,3,3,0,10,16,8,53,5,48,FALSE
1.3636363636363602,4,5.4225719970358215,5.998451397796758,16,0.7100226978096958,30,5.5,14,14,0,22,22,22,22,7,15,4,143,99,1,0,1,0,0,0,22,0,0,1,0,0,1,0.159420289855072,0.0,0,0,0,1,12,7,0,0,0,FALSE
2.0,3,3.97057309581168,4.37362491854011,2,0.8944271909999159,10,9.2,1,1,0,5,5,5,5,2,3,5,49,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,FALSE
1.0,1,3.83659166810898,4.18903971407372,3,0.0,3,6.33333333333333,0,0,0,3,3,3,3,0,3,0,33,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,9,0,9,FALSE
5.0,15,5.01169585696063,6.466590591629009,3,4.26223728418147,60,26.0833333333333,5,5,0,12,12,12,12,6,6,32,320,194,0,0,0,0,0,0,12,0,0,0,0,0,0,0.0,0.0,0,0,0,7,5,5,51,0,51,TRUE
1.625,2,3.5240924804297205,3.0518825415487303,3,0.484122918275927,13,4.125,1,1,0,8,8,8,8,0,8,6,41,22,1,0,1,0,0,0,8,0,0,1,0,0,1,0.148148148148148,0.0,0,0,0,1,1,1,10,0,10,FALSE
1.44444444444444,5,4.912113890972232,5.39362695671605,8,1.25707872210942,13,5.66666666666667,8,3,0,9,9,26,9,0,9,9,73,34,1,0,1,7,7,0,2,17,7,1,0,0,1,0.3035714285714289,0.269230769230769,1,1,0,10,3,3,37,2,35,FALSE
1.3636363636363602,5,4.94207922689455,5.50953581905074,10,1.14991914915214,15,5.36363636363636,11,6,1,10,11,28,11,1,10,10,101,43,1,0,1,7,7,0,4,17,7,1,0,0,1,0.325793650793651,0.25,1,1,0,11,6,5,44,2,42,TRUE
1.44444444444444,5,4.912113890972232,5.39362695671605,8,1.25707872210942,13,5.66666666666667,8,3,0,9,9,26,9,0,9,9,73,34,1,0,1,7,7,0,2,17,7,1,0,0,1,0.3035714285714289,0.269230769230769,1,1,0,10,3,3,37,2,35,FALSE
2.2,11,4.7929820378603,5.88947914866637,8,2.9933259094191498,22,9.9,8,3,0,10,10,27,10,0,10,9,112,66,1,0,1,7,7,0,3,17,7,1,0,0,1,0.26984126984127,0.25925925925925897,1,1,0,10,3,3,52,7,45,TRUE
1.6666666666666698,2,4.23140184539217,4.98077274339361,1,0.471404520791032,5,14.0,4,4,0,3,3,3,3,0,3,2,55,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,5,4,4,9,0,9,FALSE
1.0,1,4.22017552146434,4.75935840043324,4,0.0,4,5.75,3,3,1,3,4,4,4,0,4,0,33,20,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,5,3,3,12,0,12,FALSE
1.11111111111111,2,4.69423567775942,5.34493118924466,8,0.314269680527354,10,3.44444444444444,7,2,0,9,9,26,9,0,9,8,46,25,1,0,1,7,7,0,2,17,7,1,0,0,1,0.3035714285714289,0.269230769230769,1,1,0,7,2,2,15,2,13,TRUE
1.0,1,2.94770277922009,4.05595815161512,3,0.0,3,3.6666666666666696,0,0,0,3,3,3,3,0,3,0,16,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,8,0,8,TRUE
2.42857142857143,12,5.65472820008085,6.47575815827446,7,2.77010277566647,34,11.285714285714299,30,25,0,14,14,33,14,4,10,16,212,142,1,0,1,5,5,0,9,19,5,1,0,0,1,0.352777777777778,0.15151515151515196,3,3,0,8,21,8,44,12,32,FALSE
3.125,8,5.02956571914172,6.13175280595729,3,2.26039266500314,25,16.625,3,3,4,4,8,8,8,2,6,20,146,95,1,0,1,0,0,0,8,0,0,1,0,0,1,0.148148148148148,0.0,0,0,0,0,3,3,0,0,0,FALSE
1.0,1,3.5012716238858803,5.44320399272148,12,0.0,12,11.0,2,2,0,12,12,12,12,0,12,0,148,118,1,0,1,0,0,0,12,0,0,1,0,0,1,0.153846153846154,0.0,0,0,0,5,2,2,86,0,86,FALSE
1.0,1,5.33251051255682,4.14710783414268,8,0.0,8,6.5,4,4,0,8,8,8,8,0,8,0,127,90,1,0,1,0,0,0,8,0,0,1,0,0,1,0.148148148148148,0.0,0,0,0,2,4,4,162,0,162,FALSE
2.11764705882353,6,5.4970894923851,5.91972747852618,7,1.32320257402376,36,8.52941176470588,16,11,0,17,17,36,17,4,13,18,177,110,1,0,1,5,5,0,12,19,5,1,0,0,1,0.356623931623932,0.138888888888889,3,3,0,10,10,7,25,4,21,TRUE
1.7142857142857095,3,4.6093886810007,5.421792302835151,3,0.699854212223765,12,9.14285714285714,9,9,0,7,7,7,7,1,6,3,75,60,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,0,8,7,0,0,0,TRUE
2.25,4,4.51186471767534,5.713083593375161,3,1.08972473588517,18,14.125,6,6,0,8,8,8,8,2,6,9,127,92,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,4,6,4,49,0,49,FALSE
1.0,1,4.875292095685969,4.8380859643105305,19,0.0,19,3.21052631578947,6,1,0,19,19,28,19,0,19,13,85,45,1,0,1,15,15,0,4,9,15,1,0,0,1,0.497222222222222,0.535714285714286,0,0,0,5,1,1,6,6,0,FALSE
1.0,1,4.875292095685969,4.8380859643105305,19,0.0,19,3.21052631578947,6,1,0,19,19,28,19,0,19,13,85,45,1,0,1,15,15,0,4,9,15,1,0,0,1,0.497222222222222,0.535714285714286,0,0,0,5,1,1,6,6,0,FALSE
1.0,1,4.64824320591592,5.00621321649772,11,0.0,11,3.45454545454545,4,4,11,0,11,11,11,0,11,8,44,32,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,1,4,4,7,0,7,FALSE
2.9166666666666696,14,5.4802146950962,6.28721159306583,8,3.68461516157236,35,14.416666666666698,14,9,0,12,12,30,12,1,11,15,204,134,1,0,1,6,6,0,6,18,6,1,0,0,1,0.3373015873015869,0.2,2,2,0,8,8,5,33,2,31,FALSE
1.5,5,4.118507780461741,5.27853112528536,8,1.2041594578792298,15,6.7,3,3,0,10,10,10,10,1,9,1,81,47,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,9,3,3,73,0,73,FALSE
1.9,6,4.9438508225645705,6.152165931746299,7,1.57797338380595,19,8.8,11,6,0,10,10,27,10,1,9,11,106,72,1,0,1,7,7,0,3,17,7,1,0,0,1,0.317460317460317,0.25925925925925897,1,1,0,8,4,2,27,4,23,TRUE
2.73684210526316,9,5.5851367086867585,6.87598290751234,8,2.07344374774655,52,11.526315789473696,11,6,1,18,19,36,19,6,13,15,235,155,1,0,1,7,7,0,12,17,7,1,0,0,1,0.346306471306471,0.19444444444444395,1,1,0,11,4,4,79,10,69,FALSE
1.7,5,4.43229424394886,4.504818202621388,6,1.34536240470737,17,5.8,6,6,0,10,10,10,10,3,7,8,70,51,1,1,1,5,0,5,10,0,0,1,1,1,1,0.15151515151515196,0.0,1,0,1,0,1,1,0,0,0,FALSE
3.04,13,5.8683368836652505,7.22297321106856,9,3.09166621743034,76,15.0,22,17,0,25,25,45,25,6,19,30,417,284,1,0,1,4,4,0,21,20,4,1,0,0,1,0.214646464646465,0.0888888888888889,3,3,0,15,13,10,83,10,73,TRUE
4.1875,52,6.338917160819019,7.9473411932971905,17,7.56267217434861,201,20.2083333333333,25,20,3,45,48,66,48,17,31,47,1000,678,1,0,1,6,6,0,42,18,6,1,0,0,1,0.3572351421188629,0.0909090909090909,3,3,0,18,16,16,285,45,240,TRUE
1.55555555555556,2,4.01914380898394,3.6686630527537103,4,0.4969039949999529,14,4.66666666666667,8,2,0,9,9,14,9,1,8,9,52,31,2,0,2,5,5,0,4,5,5,2,0,0,1,0.34444444444444394,0.7142857142857142,1,1,0,1,2,2,20,10,10,TRUE
2.36363636363636,7,4.7929820378603,6.45730435986495,7,2.14360474955484,26,11.272727272727304,8,3,0,11,11,29,11,2,9,12,137,88,1,0,1,6,6,0,5,18,6,1,0,0,1,0.33333333333333304,0.206896551724138,2,2,0,14,3,3,67,12,55,TRUE
1.8333333333333304,6,4.75603790731175,6.1061889230678785,9,1.5723301886761,22,7.83333333333333,8,3,0,12,12,29,12,2,10,10,107,68,1,0,1,7,7,0,5,17,7,1,0,0,1,0.283730158730159,0.241379310344828,1,1,0,12,2,2,46,13,33,FALSE
1.125,3,4.011307542876,4.54697242200285,15,0.484122918275927,18,3.75,14,14,1,15,16,16,16,0,16,8,76,55,0,0,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0,0,0,0,13,3,0,0,0,FALSE
1.7,3,3.89792048967222,4.70475851263407,4,0.640312423743285,17,6.5,1,1,10,0,10,10,10,0,10,24,68,42,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,FALSE
1.6896551724137898,10,4.94098348003911,6.40851988626938,40,1.65265613328576,98,6.81034482758621,6,6,2,56,58,58,58,11,47,110,442,268,0,0,0,0,0,0,58,0,0,0,0,0,0,0.0,0.0,0,0,0,14,5,5,149,0,149,TRUE
1.8235294117647096,6,5.51725432900732,6.46891512288422,12,1.50431904147581,31,11.0588235294118,19,19,1,16,17,17,17,3,14,21,231,164,0,0,0,0,0,0,17,0,0,0,0,0,0,0.0,0.0,0,0,0,5,14,10,31,0,31,TRUE
1.0,1,3.9262723741395096,3.83659166810898,8,0.0,8,3.0,4,4,8,0,8,8,8,0,8,4,30,21,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,1,3,3,0,0,0,FALSE
2.44444444444444,6,4.79617687060086,6.16512208451115,5,1.89215404065849,22,11.333333333333302,9,9,0,9,9,9,9,2,7,6,113,84,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,4,9,4,20,0,20,TRUE
3.53846153846154,8,4.76357520474758,6.83829067589497,2,2.2054263364356097,46,17.307692307692303,8,5,2,11,13,19,13,7,6,25,239,168,1,0,1,1,1,0,12,6,1,1,0,0,1,0.201465201465202,0.0526315789473684,0,0,0,0,5,5,6,6,0,FALSE
1.8,5,4.27761343681911,5.464069646492231,4,1.6,9,10.0,4,4,0,5,5,5,5,2,3,1,59,45,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,12,4,4,45,0,45,FALSE
1.45,5,4.6994977521625,5.900360588677289,15,0.9733961166965892,29,8.1,5,5,2,18,20,20,20,1,19,1,186,127,0,0,0,0,0,0,20,0,0,0,0,0,0,0.0,0.0,0,0,0,11,5,5,155,0,155,TRUE
2.0,3,4.43063240949075,4.951143898990769,2,0.8164965809277259,12,18.3333333333333,5,5,0,6,6,6,6,0,6,0,122,76,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,14,5,5,130,0,130,TRUE
1.0,1,2.12808527889139,3.4524329154833,3,0.0,3,9.0,0,0,0,3,3,3,3,0,3,0,32,25,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,43,0,43,FALSE
1.0,1,1.58496250072116,3.008764684573201,1,0.0,1,22.0,0,0,0,1,1,1,1,0,1,0,25,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,18,0,18,FALSE
1.28571428571429,3,4.45914791702725,5.2136546338494405,5,0.880630571852711,9,7.857142857142861,3,3,0,7,7,7,7,0,7,14,60,40,0,1,0,2,0,2,7,0,0,0,2,2,0,0.0,0.0,0,0,0,1,3,3,5,0,5,FALSE
1.5,3,2.94770277922009,4.36789869187301,3,0.8660254037844392,6,6.5,0,0,4,0,4,4,4,0,4,2,28,18,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,1,0,1,FALSE
1.22222222222222,2,3.6469666682736497,4.01467362738357,7,0.415739709641549,11,4.2222222222222205,3,3,0,9,9,9,9,0,9,3,44,31,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,2,0,0,0,FALSE
1.875,6,4.69748426263053,5.78827865331187,5,1.61535599791501,15,8.625,8,8,0,8,8,8,8,1,7,4,79,59,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,3,8,4,17,0,17,FALSE
2.42857142857143,5,3.94950555023792,5.77139312601462,3,1.49829835452879,17,11.5714285714286,5,2,0,7,7,13,7,1,6,13,88,62,1,0,1,1,1,0,6,6,1,1,0,0,1,0.19047619047619,0.0769230769230769,0,0,0,0,2,2,2,2,0,FALSE
1.1,2,3.13628004575685,3.4096737496843703,9,0.3,11,4.0,5,5,0,10,10,10,10,0,10,6,47,35,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,4,1,0,0,0,FALSE
1.0,1,3.44246050810239,3.42092090063236,18,0.0,18,2.94444444444444,1,1,0,18,18,18,18,0,18,17,73,37,1,0,1,0,0,0,18,0,0,1,0,0,1,0.157894736842105,0.0,0,0,0,0,1,1,0,0,0,FALSE
1.0,1,3.88017992267574,3.34144607116552,1,0.0,1,7.0,0,0,1,0,1,1,1,0,1,0,24,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,FALSE
2.0,5,4.66489440108416,5.62913338785203,5,1.34164078649987,20,7.7,4,4,0,10,10,10,10,4,6,11,88,64,1,0,1,0,0,0,10,0,0,1,0,0,1,0.15151515151515196,0.0,0,0,0,0,3,3,0,0,0,FALSE
1.25,3,4.65110447170316,5.436390851160881,17,0.622494979899437,25,5.3,6,6,0,20,20,20,20,1,19,14,118,81,0,1,0,0,0,0,20,0,0,0,1,1,0,0.0,0.0,1,0,1,3,5,3,4,0,4,FALSE
1.58823529411765,4,3.86152228097632,4.757067328715348,10,0.8442764761416071,27,7.0,5,5,0,17,17,17,17,4,13,35,127,84,0,1,0,1,0,1,17,0,0,0,1,1,0,0.0,0.0,0,0,0,3,3,2,7,0,7,FALSE
0.666666666666667,1,2.7527152789797,2.68401728082985,3,0.471404520791032,2,2.3333333333333304,1,1,0,3,3,3,3,0,3,6,10,7,0,1,0,4,0,4,3,0,0,0,4,4,0,0.0,0.0,4,0,4,1,1,1,0,0,0,FALSE
1.6363636363636398,4,4.10267314535875,4.59780434404278,7,0.9791208740244548,18,5.36363636363636,2,2,0,11,11,11,11,1,10,13,63,45,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,2,2,1,15,0,15,FALSE
2.7037037037037,23,4.741054572644309,6.20637288327769,19,4.56082200855175,73,12.2222222222222,9,9,12,15,27,27,27,5,22,42,377,291,0,0,0,0,0,0,27,0,0,0,0,0,0,0.0,0.0,0,0,0,1,7,3,7,0,7,FALSE
1.89473684210526,3,4.7807718178086205,4.29720240818524,3,0.446593756538872,36,10.8421052631579,7,2,0,19,19,43,19,0,19,29,229,141,1,0,1,0,0,0,19,24,0,1,0,0,1,0.158333333333333,0.0,15,15,0,6,2,2,28,28,0,TRUE
0.0,0,2.12808527889139,0.0,0,0.0,0,0.0,3,3,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,1,0,0,0,FALSE
1.29166666666667,7,5.24462364450038,5.77078077163092,20,1.59371595824211,31,4.54166666666667,5,5,5,19,24,24,24,0,24,23,174,111,0,3,0,296,0,296,24,0,0,0,43,47,0,0.0,0.0,74,0,74,10,5,5,12,0,12,TRUE
1.0,1,4.80960495827234,4.943057538322702,14,0.0,14,4.5,12,12,3,11,14,14,14,0,14,12,78,51,0,0,0,0,0,0,14,0,0,0,0,0,0,0.0,0.0,0,0,0,5,11,8,0,0,0,FALSE
1.2,3,3.272804327334621,3.30245643889288,4,0.9797958971132712,6,4.8,2,2,0,5,5,5,5,0,5,3,30,18,0,1,0,3,0,3,5,0,0,0,3,3,0,0.0,0.0,0,0,0,0,2,1,0,0,0,FALSE
1.0,1,2.40563906222957,2.25,2,0.0,2,3.0,0,0,0,2,2,2,2,0,2,2,8,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,0,0,0,FALSE
1.76190476190476,5,4.84784652814709,5.7542580818319715,15,1.3768411709334298,37,6.80952380952381,7,7,3,18,21,21,21,3,18,12,153,113,1,0,1,0,0,0,21,0,0,1,0,0,1,0.15909090909090898,0.0,0,0,0,4,5,5,5,0,5,TRUE
2.41176470588235,6,5.149192832425031,6.01907463302549,5,1.41665818574027,41,9.52941176470588,8,8,0,17,17,17,17,2,15,16,176,129,1,0,1,0,0,0,17,0,0,1,0,0,1,0.15740740740740694,0.0,0,0,0,5,5,5,7,0,7,TRUE
3.6,11,4.43315364618496,5.5873655203232016,2,3.77359245282264,18,15.6,6,6,0,5,5,5,5,0,5,3,86,63,1,0,1,0,0,0,5,0,0,1,0,0,1,0.138888888888889,0.0,0,0,0,1,4,4,0,0,0,FALSE
