issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-7153,Bug,2017-07-11 19:52:47,2017-11-03 01:02:32
FLINK-7154,Bug,2017-07-11 21:42:41,2017-07-14 05:49:54
FLINK-7155,New Feature,2017-07-11 22:58:36,2019-02-13 20:31:26
FLINK-7156,Improvement,2017-07-12 02:35:07,
FLINK-7157,New Feature,2017-07-12 02:50:05,
FLINK-7158,Bug,2017-07-12 03:33:22,2017-11-08 21:31:59
FLINK-7159,Bug,2017-07-12 09:10:42,2017-08-09 02:45:22
FLINK-7160,New Feature,2017-07-12 09:45:17,2017-07-12 18:52:24
FLINK-7161,Bug,2017-07-12 14:01:13,2017-07-15 08:00:03
FLINK-7162,Improvement,2017-07-12 15:03:27,2017-07-19 03:03:17
FLINK-7163,Improvement,2017-07-12 15:48:34,2019-01-30 18:12:06
FLINK-7164,Improvement,2017-07-12 17:08:53,2017-07-19 16:15:05
FLINK-7165,Bug,2017-07-12 17:56:22,2019-10-25 17:41:44
FLINK-7166,Bug,2017-07-12 18:00:38,2017-08-02 22:32:39
FLINK-7167,Improvement,2017-07-13 10:41:11,
FLINK-7168,Improvement,2017-07-13 10:59:10,2017-07-13 11:17:06
FLINK-7169,Sub-task,2017-07-13 13:34:08,2017-09-05 11:29:46
FLINK-7170,Bug,2017-07-13 17:19:16,2017-07-25 20:35:44
FLINK-7171,Improvement,2017-07-13 18:03:37,2017-11-16 18:09:59
FLINK-7172,Improvement,2017-07-13 18:31:41,2017-08-10 14:15:49
FLINK-7173,Bug,2017-07-13 19:52:37,2017-07-13 23:22:29
FLINK-7174,Improvement,2017-07-13 19:58:12,2017-07-24 18:47:38
FLINK-7175,Improvement,2017-07-13 23:03:27,2019-03-02 00:25:51
FLINK-7176,Bug,2017-07-13 23:24:23,2017-07-21 15:10:05
FLINK-7177,Bug,2017-07-14 02:12:18,2017-07-24 20:36:25
FLINK-7178,Bug,2017-07-14 02:48:07,2017-07-18 20:36:55
FLINK-7179,Bug,2017-07-14 03:58:22,2017-10-30 21:36:54
FLINK-7180,Bug,2017-07-14 15:44:20,2017-07-15 00:37:07
FLINK-7181,Improvement,2017-07-14 16:09:54,2017-07-25 19:35:38
FLINK-7182,Improvement,2017-07-14 16:21:51,2017-07-19 03:01:37
FLINK-7183,Improvement,2017-07-14 16:22:09,2017-07-19 03:02:24
FLINK-7184,Improvement,2017-07-14 16:22:28,2017-07-19 03:02:49
FLINK-7185,Improvement,2017-07-14 16:22:38,2017-08-01 00:25:42
FLINK-7186,Improvement,2017-07-14 16:22:50,2017-07-19 03:00:54
FLINK-7187,Improvement,2017-07-14 16:23:03,2017-07-25 19:36:01
